feature,mse_to_gt,mean_cosine_to_gt
Model 1,0.9080058320337273,-0.007309710437803404
Model 2,0.8905134502030359,0.02277319422232823
Model 3,1.0305944492698988,0.01038149450818416
Model 4,0.1422317449098237,0.006552685548287403
Model 5,0.13025621281696204,-0.0030193807177691994
Model 6.1,0.9031630990434598,-0.003011261238132512
Model 7.1,0.024973697647411218,0.8059831058713097
GT depth,0.0,1.0
