feature,token_accuracy,sequence_accuracy,mean_confidence
Model 1,0.12336790270834888,0.001007237185704693,0.3871903112466003
Model 2,0.10584384093113482,0.000335745728568231,0.4011797405112851
Model 3,0.1295045885249571,0.00022383048571215399,0.6798321698963006
Model 6.1,0.2818119077818399,0.004103558904722823,0.3847762587923777
